date,title,summary
2026-03-18,Iran War Live Updates: Iran Launches Missile Attack on Tel Aviv in Retaliation for Latest Killings,"Iranian state media confirmed the killings of Ali Larijani, who had served as Iran’s de facto leader recently, and a militia commander late Tuesday. Airstrikes rocked the Lebanese capital early Wednesday."
2026-03-17,Dozens Dead in Pakistani Airstrike on Kabul,"The attack hit a drug rehabilitation facility, and Afghanistan vowed to retaliate, risking an escalation of the conflict between the two countries."
2026-03-17,At Least 23 Killed in Nigeria as Insurgent Attacks Go On Despite U.S. Help,A teaching hospital and two markets in the city of Maiduguri were hit in what a military spokesman said were suicide bombings by Boko Haram.
2026-03-17,Trump Signals He May Intervene in Cuba Following Iran and Venezuela,"Still at war with Iran and in control in Venezuela, President Trump is signaling that he is about to intervene in another country."
2026-03-17,"Sucked Into War, Gulf Countries Face the Limits of U.S. Security Guarantees","Barraged by Iranian attacks and questioning the value of security ties with the United States, nations in the Gulf have turned to Ukraine, Australia and Italy for help."
2026-03-18,"As American Bombers Take Off From R.A.F. Fairford in UK, Iraq War Looms Large",R.A.F. Fairford was the site of repeated antiwar protests during the Iraq war in 2003. Now it is being used again as a base for U.S. bombing missions in the Middle East.
2026-03-17,What the Iran War Means for the U.S.-China Relationship,"With the Xi-Trump summit almost certainly delayed, and tensions rising over the war in Iran, vital issues for both the U.S. and China are also being cast into uncertainty."
2026-03-18,Here’s What Happened in the War in the Middle East on Tuesday,"The deaths of two top Iranian officials were announced on Tuesday, while President Trump once again lashed out at NATO allies who refused to aid the U.S. war effort against Iran."
2026-03-17,Trump’s Next Decision in War: Whether to Retrieve Iran’s Nuclear Fuel,A mission to seize or destroy Iran’s nuclear material would be one of the riskiest military operations in modern American history.
2026-03-17,"Kharg Island Is an Appealing Target for Trump, With High Risks",A U.S. attack or a move to seize control of Iran’s main oil export hub could cripple the country’s ability to profit from its natural resources. But it would also risk sending energy prices even higher.
2026-03-18,An Unexploded Bomb Near the Colombia-Ecuador Border Leads to a Diplomatic Clash,"The Times photographed an unexploded munition in southern Colombia, near the Ecuadorean border. A high-stakes feud between both countries quickly ensued."
2026-03-17,"Ali Larijani, Iran’s De Facto Political Leader, Killed by Israel","The killing, which Iran confirmed, could embolden Iranian hard-liners, as the U.S.-Israeli bombing campaign continues."
2026-03-17,Israel Keeps Killing Key Iranian Leaders. Will It Work?,"Israeli officials trumpeted airstrikes that killed Iran’s de facto leader and the commanders of a militia notorious for violently suppressing protests. But “decapitation has its limits,” an analyst warns."
2026-03-17,The Iran War Is Pushing Some Countries to Cut Back On Energy Use,"As the conflict enters its third week, some nations are trying to reduce energy use, including a mandatory energy holiday in Sri Lanka."
2026-03-17,U.N. Says Attacks on Iran Set to Drive Hunger to Record Levels,Tens of millions more people around the world could face acute hunger as the war in the Middle East continues to disrupt shipping and drive up oil prices.
2026-03-17,Antisemitic Attacks Bring Deeper Unease to Dutch Jews,"Since a school and a synagogue were attacked over two days, an unsettling feeling has spread among Jews in the Netherlands."
2026-03-17,"Joe Kent, a Top Counterterrorism Official for the Trump Administration, Resigns, Citing Iran War",Mr. Kent is the highest-ranking Trump administration official to quit in opposition to the conflict. He is also known for his support of conspiracy theories.
2026-03-17,Who Runs Iran Now? Charting the Top Leaders Killed in the War So Far.,"Israel said on Tuesday that it had killed two more high-ranking figures, including the man who had essentially been running Iran for weeks."
2026-03-17,Israel’s Killing of Ali Larijani Could Allow Military to Tighten Grip on Iran,"As Iran’s top national security official, Mr. Larijani had a reputation for acting as a bridge between hard-line figures in the armed forces and more moderate political factions."
2026-03-17,Another Tanker Is Attacked Near the Strait of Hormuz,"The ship was struck near an Emirati port, in the first such attack in five days. The United Arab Emirates also said it was intercepting Iranian drones and missiles."
