date,title,summary
"Tue, 14 Ap",Iran War Live Updates: U.S. Says Israel and Lebanon Agree to More Peace Talks,"Fighting continued in southern Lebanon between Israel and Iran-backed Hezbollah, even as Israeli and Lebanese diplomats met in Washington. The war in Lebanon has threatened to undermine the U.S.-Iran cease-fire."
"Tue, 14 Ap","As War Chills Economy, Dubai’s Most Vulnerable Bear the Cost","Migrant workers in the United Arab Emirates, whose hospitality industry has been hit hard by the war with Iran, are facing furloughs, pay cuts and even repatriation."
"Tue, 14 Ap","As Bahrain Cracked Down Amid War, a Death in Custody Sparked Outrage","The body of a man accused of spying for Iran, Mohammed al-Mousawi, showed signs of torture, witnesses said. The U.N. has called for an investigation."
"Tue, 14 Ap",Russian Oil Revenues Nearly Doubled in March,"The surge in revenue provided a critical lifeline for Moscow, which has struggled to fund the war in Ukraine amid record-high deficits."
"Tue, 14 Ap",Europe Is Desperate for More Energy. Can Norway Come to the Rescue?,The war in Iran has once again exposed Europe’s energy vulnerability. A friendly source at home would seem to be ideal. But it’s not that easy.
"Tue, 14 Ap",Ex-Student Wounds 16 in High School Shooting in Turkey,Officials said the teenage attacker killed himself when cornered by the police. The authorities are investigating possible motives.
"Tue, 14 Ap",Israel’s Spy Chief Addresses Criticism About the War With Iran,"The Mossad head said Israel’s mission would not be complete until the Iranian regime was replaced, after criticism that the war has left Iran’s theocratic government in place."
"Tue, 14 Ap","Italy Suspends Defense Pact With Israel, Further Straining Ties","The move by Italy, once considered a strong ally of Israel, reflected growing anger over Israeli aggression in the Middle East. President Trump criticized Italy’s stance on the war."
"Tue, 14 Ap",China Offers Veiled Criticism of U.S. as Iran War Threatens Oil Imports,"China’s leader, Xi Jinping, said that the world cannot risk reverting “to the law of the jungle.” Beijing has taken a more active role diplomatically as the crisis in the Strait of Hormuz persists."
"Tue, 14 Ap","Middle East War Will Slow Global Economic Growth, I.M.F. Warns","The conflict could also fuel another bout of inflation, according to the International Monetary Fund."
"Tue, 14 Ap",State of U.S. Blockade Is Unclear as Some Ships Transit Strait of Hormuz,"Ship-tracking data showed that several vessels, including some that had been docked at Iranian ports, had moved through the strait as the U.S. military began its blockade."
"Tue, 14 Ap",Israel and Lebanon Seek Way Forward in Rare Direct Talks,"The talks, set for Tuesday in Washington, were not expected to produce an immediate breakthrough in the war between Hezbollah and Israel."
"Mon, 13 Ap","Amid War, G.O.P. Puts Off Testimony From Senior Pentagon Commanders","House lawmakers had been scheduled to hear testimony next week from the head of military operations in the Middle East, but the Republican majority postponed the hearing until late May."
"Mon, 13 Ap",What the U.S. Blockade of Iran and the Strait of Hormuz Might Look Like,The U.S. military has provided few details on how it might carry out President Trump’s orders as he seeks to pressure Tehran on a peace deal. But history and established practices offer some clues.
"Mon, 13 Ap","As Internet Blackout Hits Day 45, Iranians Bemoan State Hypocrisy and Economic Risks",Iranians enduring the latest communications shutdown warn that it’s crippling businesses. Critics say officials flagrantly use the internet they block citizens from.
"Mon, 13 Ap","Killer’s Parents Could Have Prevented Southport Attack in U.K., Report Says","An official inquiry said the perpetrator’s parents, as well as government agencies, had missed several chances to avert the deadly attack."
"Tue, 14 Ap",Israelis Don’t Feel Much Like Victors in War With Iran,"The regime in Iran has not changed and the nuclear and missile threats have not been eliminated, leaving many Israelis to wonder what this was all for."
"Mon, 13 Ap",China’s Electrostate Is Poised to Win From War in the Middle East,"A cluster of Chinese firms is poised to win big from the energy crisis set off by the war in the Middle East, building on booming investment in artificial intelligence."
"Mon, 13 Ap",How Would a Blockade of the Strait of Hormuz Work? Here Are Some Possibilities.,"The goal of the naval operation ordered by President Trump is to deny Iran the revenues it needs to fund its military, but there are many unknowns."
